Time (s),Amplitude (V)
0.0000000000e+00,-5.2692687609e-02
1.0000000000e-07,-4.1139484418e-03
2.0000000000e-07,3.9304318079e-02
3.0000000000e-07,-4.4436320597e-02
4.0000000000e-07,7.5409274781e-02
5.0000000000e-07,8.6591882495e-02
6.0000000000e-07,-1.6741826956e-01
7.0000000000e-07,-2.7855908988e-02
8.0000000000e-07,-5.0109077606e-02
9.0000000000e-07,4.8388974415e-02
1.0000000000e-06,2.1417664781e-02
1.1000000000e-06,2.9452520964e-02
1.2000000000e-06,2.3589437083e-02
1.3000000000e-06,-1.4423669816e-01
1.4000000000e-06,4.3546511610e-02
1.5000000000e-06,1.1290513028e-01
1.6000000000e-06,-2.1760786827e-01
1.7000000000e-06,-3.8348458626e-03
1.8000000000e-06,1.4276363311e-01
1.9000000000e-06,-2.7950112519e-02
2.0000000000e-06,-6.8304269674e-02
2.1000000000e-06,-1.0152420920e-01
2.2000000000e-06,4.5925253286e-02
2.3000000000e-06,1.3565970318e-02
2.4000000000e-06,3.6232392487e-02
2.5000000000e-06,4.0538209990e-02
2.6000000000e-06,5.7182949668e-02
2.7000000000e-06,-1.2531600869e-02
2.8000000000e-06,1.0650103021e-01
2.9000000000e-06,-1.7263945840e-01
3.0000000000e-06,-6.1073975645e-03
3.1000000000e-06,-1.9001003749e-02
3.2000000000e-06,1.8424058670e-01
3.3000000000e-06,-3.8880629967e-03
3.4000000000e-06,-1.3470281024e-02
3.5000000000e-06,-6.8088912659e-02
3.6000000000e-06,7.0756977779e-02
3.7000000000e-06,-7.5670748335e-02
3.8000000000e-06,-1.0728734092e-01
3.9000000000e-06,9.4675376476e-02
4.0000000000e-06,-1.1513717544e-01
4.1000000000e-06,-3.3908179009e-02
4.2000000000e-06,2.1711748442e-01
4.3000000000e-06,5.6846927845e-02
4.4000000000e-06,-5.2449052103e-02
4.5000000000e-06,1.8667426785e-02
4.6000000000e-06,1.8725988363e-01
4.7000000000e-06,-2.2850872181e-01
4.8000000000e-06,-2.6380326889e-03
4.9000000000e-06,1.7155688870e-01
5.0000000000e-06,1.1321142292e-02
5.1000000000e-06,1.7903436885e-02
5.2000000000e-06,3.4797633644e-02
5.3000000000e-06,-5.6734788145e-02
5.4000000000e-06,4.1895681030e-02
5.5000000000e-06,8.4905757561e-02
5.6000000000e-06,1.3155325971e-01
5.7000000000e-06,2.6029343945e-02
5.8000000000e-06,1.5591963866e-01
5.9000000000e-06,1.0070254386e-01
6.0000000000e-06,-2.0971572144e-01
6.1000000000e-06,-3.0312319650e-02
6.2000000000e-06,9.8540194185e-02
6.3000000000e-06,-5.0899514943e-02
6.4000000000e-06,1.1267968402e-01
6.5000000000e-06,1.8113776861e-01
6.6000000000e-06,-1.2882159163e-01
6.7000000000e-06,2.8766087014e-02
6.8000000000e-06,1.9135873455e-01
6.9000000000e-06,-1.2549012051e-01
7.0000000000e-06,-1.4664708032e-03
7.1000000000e-06,2.2070848841e-03
7.2000000000e-06,-2.4949312915e-01
7.3000000000e-06,-7.7135740356e-02
7.4000000000e-06,-4.8424484098e-02
7.5000000000e-06,-9.3071805578e-02
7.6000000000e-06,-3.7976937648e-03
7.7000000000e-06,-4.7307188257e-02
7.8000000000e-06,7.2924491523e-03
7.9000000000e-06,-1.2087760748e-01
8.0000000000e-06,3.8466264332e-02
8.1000000000e-06,-8.8102555189e-02
8.2000000000e-06,-9.8307796582e-02
8.3000000000e-06,1.3696514192e-01
8.4000000000e-06,-2.1857428175e-01
8.5000000000e-06,-1.2030969959e-01
8.6000000000e-06,1.3547510648e-01
8.7000000000e-06,1.1184321015e-03
8.8000000000e-06,3.0593599428e-02
8.9000000000e-06,-1.0368707977e-01
9.0000000000e-06,4.0039469145e-03
9.1000000000e-06,-1.0153018046e-01
9.2000000000e-06,-4.1621745345e-02
9.3000000000e-06,1.5476225620e-01
9.4000000000e-06,-1.6840536638e-01
9.5000000000e-06,-7.8454904125e-02
9.6000000000e-06,6.1872693901e-02
9.7000000000e-06,2.4132852914e-01
9.8000000000e-06,7.9874716916e-03
9.9000000000e-06,3.4824751263e-02
1.0000000000e-05,2.5207760595e-02
1.0100000000e-05,1.1838594652e-01
1.0200000000e-05,6.6671768598e-02
1.0300000000e-05,-2.1936714913e-01
1.0400000000e-05,-5.5208672312e-02
1.0500000000e-05,7.3387570026e-02
1.0600000000e-05,1.9921712840e-02
1.0700000000e-05,-1.3555034176e-01
1.0800000000e-05,1.4591673302e-01
1.0900000000e-05,2.4775852299e-01
1.1000000000e-05,-5.2338892384e-02
1.1100000000e-05,3.5448460901e-02
1.1200000000e-05,-8.8909270267e-02
1.1300000000e-05,-3.8456482853e-02
1.1400000000e-05,5.4716743461e-02
1.1500000000e-05,-1.2020512281e-01
1.1600000000e-05,-3.9697750719e-02
1.1700000000e-05,3.1509644563e-02
1.1800000000e-05,2.8560110638e-01
1.1900000000e-05,1.1609176113e-01
1.2000000000e-05,2.4868140002e-02
1.2100000000e-05,-5.7814220881e-02
1.2200000000e-05,-1.0821565514e-01
1.2300000000e-05,-9.6383606162e-02
1.2400000000e-05,-6.3298492789e-02
1.2500000000e-05,6.3521107431e-02
1.2600000000e-05,7.1237825023e-02
1.2700000000e-05,1.0818071864e-01
1.2800000000e-05,2.9904717370e-01
1.2900000000e-05,7.2693481784e-02
1.3000000000e-05,1.0879011661e-01
1.3100000000e-05,-1.0116733456e-01
1.3200000000e-05,-2.2929428443e-01
1.3300000000e-05,-8.7120812412e-02
1.3400000000e-05,-2.3280534867e-03
1.3500000000e-05,1.5108423901e-01
1.3600000000e-05,1.2537535944e-01
1.3700000000e-05,1.7288926060e-01
1.3800000000e-05,1.5335665312e-01
1.3900000000e-05,7.7127650277e-04
1.4000000000e-05,1.3411053345e-01
1.4100000000e-05,-1.0042442735e-01
1.4200000000e-05,-1.7729729675e-01
1.4300000000e-05,-2.1588047469e-01
1.4400000000e-05,-8.2887135113e-02
1.4500000000e-05,5.1827282645e-02
1.4600000000e-05,8.0017928692e-02
1.4700000000e-05,2.1625059330e-01
1.4800000000e-05,1.2973454535e-01
1.4900000000e-05,1.3217645190e-01
1.5000000000e-05,-6.2786376038e-02
1.5100000000e-05,-1.3345562234e-01
1.5200000000e-05,-2.6365328010e-01
1.5300000000e-05,-1.2363129940e-01
1.5400000000e-05,-2.5085981535e-01
1.5500000000e-05,1.5614014958e-01
1.5600000000e-05,1.1554750270e-01
1.5700000000e-05,4.2002695914e-01
1.5800000000e-05,2.4944337352e-01
1.5900000000e-05,2.5864984819e-01
1.6000000000e-05,-1.1876782360e-01
1.6100000000e-05,-2.0176667565e-01
1.6200000000e-05,-2.7031676700e-01
1.6300000000e-05,-7.3994773495e-02
1.6400000000e-05,-1.0430464315e-01
1.6500000000e-05,2.1372804141e-01
1.6600000000e-05,2.7557792587e-01
1.6700000000e-05,2.2267232482e-01
1.6800000000e-05,2.0170087777e-01
1.6900000000e-05,1.4061260894e-02
1.7000000000e-05,9.7176887352e-02
1.7100000000e-05,-2.7499169429e-01
1.7200000000e-05,-2.3702540004e-01
1.7300000000e-05,-2.3915556527e-01
1.7400000000e-05,-1.3293884433e-01
1.7500000000e-05,4.6540536089e-02
1.7600000000e-05,1.2675172143e-01
1.7700000000e-05,4.0890324568e-01
1.7800000000e-05,2.1910762163e-01
1.7900000000e-05,1.8299999597e-01
1.8000000000e-05,-2.4478069763e-02
1.8100000000e-05,-2.4014047120e-01
1.8200000000e-05,-2.4771923729e-01
1.8300000000e-05,-3.3211943998e-01
1.8400000000e-05,-3.8507279928e-01
1.8500000000e-05,2.6872391157e-02
1.8600000000e-05,1.1124877539e-01
1.8700000000e-05,6.1046783885e-01
1.8800000000e-05,3.0116076020e-01
1.8900000000e-05,3.1133199510e-01
1.9000000000e-05,-7.2154999007e-02
1.9100000000e-05,-3.1575853757e-01
1.9200000000e-05,-4.1829616649e-01
1.9300000000e-05,-2.3459578525e-01
1.9400000000e-05,-9.0522980993e-02
1.9500000000e-05,-6.3555221944e-02
1.9600000000e-05,4.0855859541e-01
1.9700000000e-05,2.5278702060e-01
1.9800000000e-05,4.3097734583e-01
1.9900000000e-05,-1.0338456904e-01
2.0000000000e-05,-1.1805291636e-01
2.0100000000e-05,-2.7510891169e-01
2.0200000000e-05,-3.2308087018e-01
2.0300000000e-05,-4.3078201826e-01
2.0400000000e-05,-2.3232070868e-01
2.0500000000e-05,1.8083390854e-02
2.0600000000e-05,4.4147149981e-01
2.0700000000e-05,4.3959017077e-01
2.0800000000e-05,3.0563229546e-01
2.0900000000e-05,3.3576708647e-01
2.1000000000e-05,7.3306044624e-02
2.1100000000e-05,-2.6551997722e-01
2.1200000000e-05,-4.8035711081e-01
2.1300000000e-05,-4.0895163216e-01
2.1400000000e-05,-2.7512585969e-01
2.1500000000e-05,-3.2784530769e-04
2.1600000000e-05,3.4114469118e-01
2.1700000000e-05,3.3222904414e-01
2.1800000000e-05,4.4453220928e-01
2.1900000000e-05,2.6890799371e-01
2.2000000000e-05,-1.2695609011e-02
2.2100000000e-05,-2.6920380852e-01
2.2200000000e-05,-4.1167235689e-01
2.2300000000e-05,-4.3637559428e-01
2.2400000000e-05,-1.8417512466e-01
2.2500000000e-05,-1.0458035745e-01
2.2600000000e-05,3.8534091134e-01
2.2700000000e-05,5.4906539367e-01
2.2800000000e-05,6.5730200653e-01
2.2900000000e-05,3.2315322461e-01
2.3000000000e-05,7.4315895771e-02
2.3100000000e-05,-3.7852848624e-01
2.3200000000e-05,-4.7924843538e-01
2.3300000000e-05,-4.0103265254e-01
2.3400000000e-05,-3.0408632222e-01
2.3500000000e-05,-3.8459866239e-02
2.3600000000e-05,2.4956951057e-01
2.3700000000e-05,5.0591214323e-01
2.3800000000e-05,3.5073170362e-01
2.3900000000e-05,3.2566155551e-01
2.4000000000e-05,-2.1121891876e-03
2.4100000000e-05,-1.6125448056e-01
2.4200000000e-05,-5.2854672900e-01
2.4300000000e-05,-5.1309673178e-01
2.4400000000e-05,-2.3635418711e-01
2.4500000000e-05,-9.6515126774e-02
2.4600000000e-05,3.5123436384e-01
2.4700000000e-05,4.4625720188e-01
2.4800000000e-05,6.4093670063e-01
2.4900000000e-05,2.6228553369e-01
2.5000000000e-05,4.8947206088e-02
2.5100000000e-05,-3.5475055942e-01
2.5200000000e-05,-5.5487993473e-01
2.5300000000e-05,-3.7045849800e-01
2.5400000000e-05,-3.4527707499e-01
2.5500000000e-05,-6.9871125905e-02
2.5600000000e-05,3.7965390513e-01
2.5700000000e-05,4.7681993365e-01
2.5800000000e-05,5.3678301162e-01
2.5900000000e-05,2.6445421947e-01
2.6000000000e-05,-1.5111739094e-02
2.6100000000e-05,-4.2704688024e-01
2.6200000000e-05,-6.5577574094e-01
2.6300000000e-05,-5.3908194253e-01
2.6400000000e-05,-3.4836183014e-01
2.6500000000e-05,-6.1756612919e-02
2.6600000000e-05,3.0016145751e-01
2.6700000000e-05,5.2753751201e-01
2.6800000000e-05,6.9248994807e-01
2.6900000000e-05,4.2409604999e-01
2.7000000000e-05,-4.9163207723e-02
2.7100000000e-05,-3.5785047395e-01
2.7200000000e-05,-5.6156395435e-01
2.7300000000e-05,-6.8710970173e-01
2.7400000000e-05,-4.5565480657e-01
2.7500000000e-05,-1.5620651225e-01
2.7600000000e-05,3.5960012660e-01
2.7700000000e-05,6.4015804570e-01
2.7800000000e-05,4.7599623779e-01
2.7900000000e-05,2.8067854315e-01
2.8000000000e-05,3.9984399717e-04
2.8100000000e-05,-4.2257869174e-01
2.8200000000e-05,-6.4390094719e-01
2.8300000000e-05,-4.0674284420e-01
2.8400000000e-05,-4.9158387211e-01
2.8500000000e-05,-6.4432781858e-02
2.8600000000e-05,4.6886654425e-01
2.8700000000e-05,5.0002147596e-01
2.8800000000e-05,8.3057061973e-01
2.8900000000e-05,3.4488104630e-01
2.9000000000e-05,-6.1532708184e-02
2.9100000000e-05,-4.1214689332e-01
2.9200000000e-05,-7.6043883536e-01
2.9300000000e-05,-7.3403838980e-01
2.9400000000e-05,-4.5868280191e-01
2.9500000000e-05,-9.1587331097e-02
2.9600000000e-05,3.1485905057e-01
2.9700000000e-05,5.0624245587e-01
2.9800000000e-05,6.2355004930e-01
2.9900000000e-05,4.1229318335e-01
3.0000000000e-05,1.2404006703e-01
3.0100000000e-05,-4.4889295996e-01
3.0200000000e-05,-4.8065089350e-01
3.0300000000e-05,-6.7471969986e-01
3.0400000000e-05,-1.7933742019e-01
3.0500000000e-05,-1.0124113181e-01
3.0600000000e-05,5.1024262631e-01
3.0700000000e-05,7.5107505617e-01
3.0800000000e-05,6.1000620949e-01
3.0900000000e-05,1.7940852950e-01
3.1000000000e-05,1.0628656704e-01
3.1100000000e-05,-4.5919746086e-01
3.1200000000e-05,-7.1797755847e-01
3.1300000000e-05,-5.3567717123e-01
3.1400000000e-05,-3.2709276961e-01
3.1500000000e-05,-8.1583939355e-02
3.1600000000e-05,4.5931787931e-01
3.1700000000e-05,6.2078639553e-01
3.1800000000e-05,6.1732430275e-01
3.1900000000e-05,4.7586131106e-01
3.2000000000e-05,-4.5475875716e-02
3.2100000000e-05,-2.2155304418e-01
3.2200000000e-05,-4.9858426821e-01
3.2300000000e-05,-5.7449570407e-01
3.2400000000e-05,-4.0157085689e-01
3.2500000000e-05,7.6743035233e-02
3.2600000000e-05,4.1996149647e-01
3.2700000000e-05,5.3846244962e-01
3.2800000000e-05,6.1798456715e-01
3.2900000000e-05,2.0801828936e-01
3.3000000000e-05,-9.3044647406e-02
3.3100000000e-05,-3.2536878523e-01
3.3200000000e-05,-6.7914721408e-01
3.3300000000e-05,-4.8665954519e-01
3.3400000000e-05,-3.4588232329e-01
3.3500000000e-05,-9.7339046368e-02
3.3600000000e-05,4.4984577916e-01
3.3700000000e-05,3.7199589550e-01
3.3800000000e-05,4.0262392458e-01
3.3900000000e-05,4.9470713836e-01
3.4000000000e-05,4.2601628467e-02
3.4100000000e-05,-1.7605845872e-01
3.4200000000e-05,-5.4522472954e-01
3.4300000000e-05,-6.4901404634e-01
3.4400000000e-05,-3.3072191704e-01
3.4500000000e-05,-1.3675060824e-01
3.4600000000e-05,3.5735106161e-01
3.4700000000e-05,6.3800827474e-01
3.4800000000e-05,5.9297402867e-01
3.4900000000e-05,3.4993593568e-01
3.5000000000e-05,1.0943099065e-01
