Time (s),Amplitude (V)
0.0000000000e+00,2.2043866664e-01
1.0000000000e-07,-2.0739694129e-01
2.0000000000e-07,1.0135307522e-01
3.0000000000e-07,-2.7030947288e-02
4.0000000000e-07,-2.1338628562e-01
5.0000000000e-07,-5.0213874753e-02
6.0000000000e-07,1.8782693792e-02
7.0000000000e-07,-7.1204390810e-02
8.0000000000e-07,-4.4521326403e-02
9.0000000000e-07,-9.1895326589e-02
1.0000000000e-06,1.2260768121e-01
1.1000000000e-06,1.3997799082e-01
1.2000000000e-06,5.1177062087e-02
1.3000000000e-06,-3.9828917170e-02
1.4000000000e-06,-3.4273514303e-01
1.5000000000e-06,-2.3692257800e-01
1.6000000000e-06,1.0944461472e-02
1.7000000000e-06,2.1884526990e-01
1.8000000000e-06,8.4250786908e-02
1.9000000000e-06,7.3408037558e-02
2.0000000000e-06,-6.0747918344e-02
2.1000000000e-06,-1.3860102699e-01
2.2000000000e-06,-8.7133745292e-02
2.3000000000e-06,3.2609704389e-03
2.4000000000e-06,-1.9096597191e-01
2.5000000000e-06,-4.4285842184e-02
2.6000000000e-06,6.3997565738e-03
2.7000000000e-06,1.4618504967e-01
2.8000000000e-06,1.2950828204e-01
2.9000000000e-06,-1.1202761823e-01
3.0000000000e-06,7.7465602883e-02
3.1000000000e-06,1.0618824848e-01
3.2000000000e-06,2.6735145144e-02
3.3000000000e-06,6.1986261274e-02
3.4000000000e-06,-3.1183791565e-03
3.5000000000e-06,3.1583330884e-02
3.6000000000e-06,-5.3657272863e-02
3.7000000000e-06,-1.2221392327e-01
3.8000000000e-06,1.7221209547e-01
3.9000000000e-06,5.2123464859e-02
4.0000000000e-06,4.5934720678e-02
4.1000000000e-06,-7.1466317218e-02
4.2000000000e-06,-1.4356743765e-02
4.3000000000e-06,1.0171399991e-01
4.4000000000e-06,1.9296662449e-01
4.5000000000e-06,1.3409182612e-01
4.6000000000e-06,7.9825611447e-02
4.7000000000e-06,3.6122646939e-02
4.8000000000e-06,4.0229840806e-03
4.9000000000e-06,-5.9980026097e-02
5.0000000000e-06,1.9625935539e-01
5.1000000000e-06,6.5511954174e-02
5.2000000000e-06,1.5949756048e-01
5.3000000000e-06,-1.1596897587e-01
5.4000000000e-06,-2.7440030849e-02
5.5000000000e-06,-8.3908485430e-03
5.6000000000e-06,-5.0540983043e-02
5.7000000000e-06,-9.8870045452e-02
5.8000000000e-06,4.1734489997e-02
5.9000000000e-06,-1.8759601169e-01
6.0000000000e-06,1.2556479151e-02
6.1000000000e-06,2.2215797111e-01
6.2000000000e-06,7.6345209484e-02
6.3000000000e-06,-1.1144670205e-02
6.4000000000e-06,-9.1551473156e-02
6.5000000000e-06,-1.6831800249e-01
6.6000000000e-06,-1.3510198553e-01
6.7000000000e-06,6.6328249020e-02
6.8000000000e-06,2.6798072413e-01
6.9000000000e-06,-9.4267058478e-02
7.0000000000e-06,5.0270566140e-02
7.1000000000e-06,-8.1534416591e-02
7.2000000000e-06,4.1969404345e-02
7.3000000000e-06,6.1381012973e-02
7.4000000000e-06,-5.6690181797e-02
7.5000000000e-06,-4.9664548983e-02
7.6000000000e-06,4.9427992667e-02
7.7000000000e-06,5.3951134149e-02
7.8000000000e-06,1.9160123380e-02
7.9000000000e-06,-9.0210627425e-02
8.0000000000e-06,8.8956597669e-02
8.1000000000e-06,-1.4039550657e-01
8.2000000000e-06,-5.8007746750e-02
8.3000000000e-06,-8.9122896430e-02
8.4000000000e-06,5.1351241018e-02
8.5000000000e-06,1.2924936616e-02
8.6000000000e-06,5.8915578886e-02
8.7000000000e-06,2.5333124790e-02
8.8000000000e-06,1.5730281017e-01
8.9000000000e-06,5.0245182123e-02
9.0000000000e-06,1.2515093883e-01
9.1000000000e-06,-5.4976767647e-02
9.2000000000e-06,-1.8176681355e-01
9.3000000000e-06,1.0330982042e-01
9.4000000000e-06,-3.1765153924e-02
9.5000000000e-06,-3.9404453107e-02
9.6000000000e-06,4.0007161244e-02
9.7000000000e-06,9.7862381265e-02
9.8000000000e-06,3.9303536072e-02
9.9000000000e-06,-4.4893598772e-02
1.0000000000e-05,-6.9528465503e-02
1.0100000000e-05,-1.5739222496e-01
1.0200000000e-05,-1.2216779826e-01
1.0300000000e-05,4.8187844247e-02
1.0400000000e-05,-1.7640825077e-01
1.0500000000e-05,2.9882159436e-01
1.0600000000e-05,1.5303288262e-01
1.0700000000e-05,8.8981171780e-02
1.0800000000e-05,1.3467645316e-01
1.0900000000e-05,8.4688804072e-02
1.1000000000e-05,-1.4665695719e-01
1.1100000000e-05,1.7415497663e-01
1.1200000000e-05,-2.1431865320e-01
1.1300000000e-05,-1.0014015883e-01
1.1400000000e-05,-1.1258521027e-01
1.1500000000e-05,-8.8350942503e-02
1.1600000000e-05,8.6491697613e-02
1.1700000000e-05,1.6902110274e-01
1.1800000000e-05,4.3607111298e-02
1.1900000000e-05,1.3148736855e-01
1.2000000000e-05,-1.3784547401e-02
1.2100000000e-05,-8.4611004225e-02
1.2200000000e-05,2.1842619445e-04
1.2300000000e-05,-2.3556292018e-01
1.2400000000e-05,-1.1879774454e-01
1.2500000000e-05,1.2349132295e-02
1.2600000000e-05,9.4897457688e-02
1.2700000000e-05,1.1391049259e-01
1.2800000000e-05,2.5814944937e-01
1.2900000000e-05,1.0292693893e-01
1.3000000000e-05,3.4106752284e-02
1.3100000000e-05,-2.7906673904e-01
1.3200000000e-05,-2.7438488763e-02
1.3300000000e-05,-1.3097430124e-01
1.3400000000e-05,-3.0391129653e-01
1.3500000000e-05,-2.5147552023e-02
1.3600000000e-05,2.1949569517e-01
1.3700000000e-05,2.2653773277e-02
1.3800000000e-05,5.5828862895e-02
1.3900000000e-05,-3.1097565171e-02
1.4000000000e-05,9.9279126229e-02
1.4100000000e-05,2.8715628509e-02
1.4200000000e-05,-3.0424046031e-01
1.4300000000e-05,-2.1556848508e-01
1.4400000000e-05,-1.3174420874e-01
1.4500000000e-05,-1.8204654525e-01
1.4600000000e-05,3.3235905168e-02
1.4700000000e-05,2.9058686053e-01
1.4800000000e-05,1.7967292443e-01
1.4900000000e-05,2.5001687625e-01
1.5000000000e-05,1.1279315625e-01
1.5100000000e-05,-1.6512253138e-01
1.5200000000e-05,-4.5228830754e-01
1.5300000000e-05,-2.3163304695e-01
1.5400000000e-05,-1.2615858459e-01
1.5500000000e-05,2.7879623761e-02
1.5600000000e-05,3.1834958433e-01
1.5700000000e-05,3.3259845809e-01
1.5800000000e-05,1.2391674112e-01
1.5900000000e-05,1.3280718185e-01
1.6000000000e-05,-1.0685473423e-01
1.6100000000e-05,-9.5344857376e-02
1.6200000000e-05,-2.8462018493e-01
1.6300000000e-05,-4.0840573838e-01
1.6400000000e-05,-1.5936673728e-01
1.6500000000e-05,-8.9612168528e-02
1.6600000000e-05,2.7185433179e-01
1.6700000000e-05,1.7782281872e-01
1.6800000000e-05,1.6144733840e-01
1.6900000000e-05,1.5394676219e-01
1.7000000000e-05,1.3340460497e-01
1.7100000000e-05,-3.1777543389e-02
1.7200000000e-05,-4.0689599822e-01
1.7300000000e-05,-3.8354045328e-01
1.7400000000e-05,-3.2882953783e-01
1.7500000000e-05,-1.2104574356e-01
1.7600000000e-05,1.7260914983e-01
1.7700000000e-05,2.5828333385e-01
1.7800000000e-05,3.1857981910e-01
1.7900000000e-05,3.0060958230e-01
1.8000000000e-05,1.2148671396e-01
1.8100000000e-05,-3.0376250222e-01
1.8200000000e-05,-3.0160215376e-01
1.8300000000e-05,-1.2600077187e-01
1.8400000000e-05,4.4006720764e-02
1.8500000000e-05,1.4465691624e-01
1.8600000000e-05,7.4200953570e-02
1.8700000000e-05,4.3859681810e-01
1.8800000000e-05,2.9064310970e-01
1.8900000000e-05,2.6381999753e-01
