Time (s),Amplitude (V)
0.0000000000e+00,-7.2680490767e-02
1.0000000000e-07,1.0990568187e-01
2.0000000000e-07,-1.4512482810e-01
3.0000000000e-07,-2.4428033514e-01
4.0000000000e-07,-1.4320040945e-01
5.0000000000e-07,3.9849832606e-02
6.0000000000e-07,-4.7550788699e-02
7.0000000000e-07,8.6469799592e-02
8.0000000000e-07,5.6926898121e-02
9.0000000000e-07,6.9597076247e-02
1.0000000000e-06,-1.1258338766e-01
1.1000000000e-06,5.2907113354e-02
1.2000000000e-06,-9.1095502566e-02
1.3000000000e-06,3.8700913241e-04
1.4000000000e-06,-3.1321732957e-02
1.5000000000e-06,1.7949340082e-02
1.6000000000e-06,9.4126491950e-02
1.7000000000e-06,3.5426558494e-02
1.8000000000e-06,-4.2461878520e-02
1.9000000000e-06,-6.1164247256e-02
2.0000000000e-06,-1.7923100620e-02
2.1000000000e-06,-8.8707836942e-02
2.2000000000e-06,-2.1875455055e-02
2.3000000000e-06,1.8803639404e-02
2.4000000000e-06,-5.4058176857e-02
2.5000000000e-06,-4.3008274296e-02
2.6000000000e-06,-2.7549696561e-02
2.7000000000e-06,-1.6407867500e-01
2.8000000000e-06,-5.1622689660e-02
2.9000000000e-06,1.1011404904e-01
3.0000000000e-06,1.8966962086e-01
3.1000000000e-06,7.5298168920e-02
3.2000000000e-06,-2.0402157601e-02
3.3000000000e-06,1.5613068620e-01
3.4000000000e-06,-1.5290911814e-01
3.5000000000e-06,6.6237628451e-02
3.6000000000e-06,8.2334336677e-02
3.7000000000e-06,1.7219884303e-02
3.8000000000e-06,5.6974091960e-02
3.9000000000e-06,1.2193386174e-01
4.0000000000e-06,2.4068331005e-01
4.1000000000e-06,2.2409222331e-01
4.2000000000e-06,-5.8939927741e-02
4.3000000000e-06,-8.7063308743e-02
4.4000000000e-06,2.1202981727e-01
4.5000000000e-06,4.0841850471e-02
4.6000000000e-06,8.6575273073e-02
4.7000000000e-06,-1.4986848662e-01
4.8000000000e-06,-6.0870839318e-02
4.9000000000e-06,4.9831785839e-02
